id;name;producer;nation;local1;varieties1;type;abv;degree;price;year;ml
143445;Alexander, Morellino di Scansano;Alexander;Italy;Toscana;Sangiovese;Red;;;0;2015;750
143447;Tenuta San Leonardo, Planeta Merlot;Tenuta San Leonardo;Italy;TrentinoAlto Adige;Merlot;Red;13;16~18;0;2015;750
143448;Tenuta San Leonardo San Leonardo;Tenuta San Leonardo;Italy;TrentinoAlto Adige;Cabernet Sauvignon;Red;13;16~18;636;2008;750
143449;Villa Gresti di San Leonardo;Tenuta San Leonardo;Italy;TrentinoAlto Adige;Merlot;Red;;;318;2011;750
143450;Tommasi, Rippaso Valpolicella Classico Superiore;Tommasi;Italy;Veneto;Corvina Veronese;Red;13~14;16~18;397,5;2015;750
143451;Tommasi, Amarone della Valpolicella Classico;Tommasi;Italy;Veneto;Corvina Veronese;Red;15~16;16~18;1060;2013;750
143452;Tommasi, Le Rosse Pinot Grigio;Tommasi;Italy;Veneto;Pinot Grigio;White;12;10~12;0;2017;750
143453;Tommasi, Rafael Valpolicella Classico Superiore;Tommasi;Italy;Veneto;Corvina Veronese;Red;12~13;16~18;238,5;2015;750
143455;Domaine Emile Juillot, Mercurey Vieilles Vignes;Domaine Emile Juillot;France;Bourgogne;Pinot Noir;Red;;;0;2017;750
143456;Domaine J. Chatelain, Chablis;Domaine J Chatelain;France;Bourgogne;Chardonnay;White;;;0;2017;750
143457;Domaine J. Chatelain, Chablis Grand Cru Les Clos;Domaine J Chatelain;France;Bourgogne;Chardonnay;White;13;10~12;0;2014;750
143458;Rocca Di Montegrossi, Chianti Classico ;Rocca Di Montegrossi;Italy;Toscana;Sangiovese;Red;;;445,2;2016;750
143460;Simon Bize & Fils, Savigny les Beaune;Simon Bize  Fils;France;Bourgogne;Chardonnay;White;;;0;2015;750
143466;Chateau Vannieres, Rouge;Chateau Vannieres;France;Southern France;mourvedre;Red;14~15;16~18;0;2014;750
143470;Chateau Chaubinet;Chateau Chaubinet;France;Bordeaux;;;12~13;16~18;0;2016;750
143471;Chateau Le Logis de Sipian;Chateau Le Logis de Sipian;France;Bordeaux;Bordeaux Blend Red;Red;13;16~18;0;2015;750
143472;Chateau Montus;Chateau Montus;France;Southwest France;Blend;Red;14.5;16~18;530;2006;750
143493;Alexis Lichine Medoc;Alexis Lichine;France;Bordeaux;Merlot;Red;;;185,5;2016;750
143494;Alexis Lichine Saint Emilion;Alexis Lichine;France;Bordeaux;Merlot;Red;;;265;2014;750
143495;Cuvee Alexis Lichine Blanc;Alexis Lichine;France;;Blend;White;11;10~12;79,5;0;750
143496;Cuvee Alexis Lichine Bordeaux Rouge;Alexis Lichine;France;Bordeaux;Cinsault;Red;;;79,5;0;750
143498;Anakena ONA Pinot Noir;Anakena;Chile;Aconcagua;Pinot Noir;Red;13.5;15~16;371;2011;750
143502;Anakena, Cabernet Sauvignon;Anakena;Chile;Rapel Valley;Cabernet Sauvignon;Red;13;16~18;185,5;2012;750
143504;Anakena, Chardonnay;Anakena;Chile;Aconcagua;Chardonnay;White;;;185,5;2013;750
143505;Anakena, Merlot;Anakena;Chile;Rapel Valley;Merlot;Red;13;16~18;185,5;2012;750
143506;Badia Coltibuono, Cetamura Chianti;Badia a Coltibuono;Italy;Toscana;Sangiovese;Red;12.5;16~18;291,5;2010;750
143507;Badia Coltibuono, Chianti Classico Reserva;Badia a Coltibuono;Italy;Toscana;Sangiovese;Red;15;16~18;726,1;2003;750
143508;Badia Coltibuono, RS Chianti Classico;Badia a Coltibuono;Italy;Toscana;Sangiovese;Red;13~14;16~18;424;2009;750
143509;Badia Coltibuono Cetamura Bianco;Badia a Coltibuono;Italy;Toscana;Trebbiano;White;;;180,2;2006;750
143510;Bersano, Moscato d'Asti;Bersano Vini;Italy;Piemonte;Moscato;White;;;185,5;2017;750
143511;Bouey & Fils, Baron de Donzac;Bouey  Fils;France;Bordeaux;Cabernet Sauvignon;Red;12;16~18;0;2006;750
143512;Bouey & Fils, Baron de Pierre;Bouey  Fils;France;Bordeaux;Merlot;Red;;;0;2003;750
143515;Chantecaille, Bordeaux Red;Chantecaille;France;Bordeaux;Cabernet Sauvignon;Red;;;0;2016;750
143516;Chantecaille, Medoc;Chantecaille;France;Bordeaux;Merlot;Red;;;0;2005;750
143517;Chantecaille, Saint Emilion;Chantecaille;France;Bordeaux;Merlot;Red;;;0;2003;750
143518;Pierre Dumontet Rouge;Cheval Quancard;France;Bordeaux;Cabernet Sauvignon;Red;12~13;16~18;132,5;2016;750
143519;Corbett Canyon, Cabernet Sauvignon Reserve;Corbett Canyon;USA;California;Cabernet Sauvignon;Red;;;0;2003;750
143520;Corbett Canyon, Chardonnay;Corbett Canyon;USA;California;Chardonnay;White;13;10~12;0;2003;750
143521;Corbett Canyon, Merlot Reserve;Corbett Canyon;USA;California;Merlot;Red;;;116,6;2003;750
143522;Corbett Canyon, White Zinfandel;Corbett Canyon;USA;California;Zinfandel;Rose;9.5;12~14;116,6;2004;750
143523;Ferrari Brut;Ferrari;Italy;TrentinoAlto Adige;Chardonnay;Sparkling;12.5;6~8;450,5;0;750
143524;Ferrari Rose;Ferrari;Italy;TrentinoAlto Adige;Pinot Noir;Sparkling;12~13;6~8;503,5;0;750
143525;Franzia, Red 3000㎖;Franzia;USA;California;Cabernet Sauvignon;Red;11~12;16~18;159;0;3000
143526;Franzia, White 3000㎖;Franzia;USA;California;Muscat;White;11;10~12;159;0;3000
143528;IL Poggione Rosso di Montalcino;Tenuta Il Poggione;Italy;Toscana;Sangiovese;Red;13~14;16~18;424;2017;750
143530;Masi, Costasera Amarone;Masi;Italy;Veneto;Corvina;Red;15;18~20;1457,5;2012;750
